,TractFIPS,City
450,25025020301.0,Boston
451,25025050901.0,Boston
452,25025051000.0,Boston
453,25025060301.0,Boston
454,25025061101.0,Boston
455,25025120103.0,Boston
456,25025130406.0,Boston
457,25025080100.0,Boston
458,25025000704.0,Boston
459,25025010802.0,Boston
460,25025110607.0,Boston
461,25025120201.0,Boston
462,25025050700.0,Boston
463,25025010500.0,Boston
464,25025091300.0,Boston
465,25025030500.0,Boston
466,25025110501.0,Boston
467,25025140201.0,Boston
468,25025050500.0,Boston
469,25025070900.0,Boston
470,25025100700.0,Boston
471,25025030100.0,Boston
472,25025101101.0,Boston
473,25025070200.0,Boston
474,25025091700.0,Boston
475,25025082100.0,Boston
476,25025050101.0,Boston
477,25025060501.0,Boston
478,25025020303.0,Boston
479,25025120104.0,Boston
480,25025120600.0,Boston
481,25025130404.0,Boston
482,25025010404.0,Boston
483,25025010701.0,Boston
484,25025110103.0,Boston
485,25025091001.0,Boston
486,25025040401.0,Boston
487,25025140202.0,Boston
488,25025140300.0,Boston
489,25025140400.0,Boston
490,25025140106.0,Boston
491,25025080601.0,Boston
492,25025110301.0,Boston
493,25025020200.0,Boston
494,25025030400.0,Boston
495,25025030300.0,Boston
496,25025050400.0,Boston
497,25025050200.0,Boston
498,25025050300.0,Boston
499,25025010408.0,Boston
500,25025040200.0,Boston
501,25025040300.0,Boston
502,25025030200.0,Boston
503,25025092101.0,Boston
504,25025110201.0,Boston
505,25025051101.0,Boston
506,25025110403.0,Boston
507,25025040801.0,Boston
508,25025071201.0,Boston
509,25025120301.0,Boston
510,25025140105.0,Boston
511,25025120105.0,Boston
512,25025010300.0,Boston
513,25025000802.0,Boston
514,25025010203.0,Boston
515,25025070600.0,Boston
516,25025120500.0,Boston
517,25025070402.0,Boston
518,25025010103.0,Boston
519,25025140107.0,Boston
520,25025100603.0,Boston
521,25025010600.0,Boston
522,25025090901.0,Boston
523,17031291200.0,Chicago
524,17031480100.0,Chicago
525,17031480400.0,Chicago
526,17031470100.0,Chicago
527,17031650500.0,Chicago
528,17031660400.0,Chicago
529,17031480300.0,Chicago
530,17031421200.0,Chicago
531,17031650400.0,Chicago
532,17031480200.0,Chicago
533,17031420200.0,Chicago
534,17031420100.0,Chicago
535,17031420700.0,Chicago
536,17031420400.0,Chicago
537,17031460400.0,Chicago
538,17031460500.0,Chicago
539,17031460700.0,Chicago
540,17031411100.0,Chicago
541,17031461000.0,Chicago
542,17031420800.0,Chicago
543,17031290900.0,Chicago
544,17031660700.0,Chicago
545,17031292400.0,Chicago
546,17031520600.0,Chicago
547,17031411200.0,Chicago
548,17031660600.0,Chicago
549,17031660500.0,Chicago
550,17031520200.0,Chicago
551,17031520500.0,Chicago
552,17031520300.0,Chicago
553,17031520400.0,Chicago
554,17031490500.0,Chicago
555,17031480500.0,Chicago
556,17031490300.0,Chicago
557,17031300700.0,Chicago
558,17031301200.0,Chicago
559,17031300600.0,Chicago
560,17031301100.0,Chicago
561,17031280100.0,Chicago
562,17031280400.0,Chicago
563,17031292500.0,Chicago
564,17031292200.0,Chicago
565,17031271500.0,Chicago
566,17031460600.0,Chicago
567,17031390300.0,Chicago
568,17031283800.0,Chicago
569,17031750100.0,Chicago
570,17031640300.0,Chicago
571,17031630200.0,Chicago
572,17031630300.0,Chicago
573,17031630900.0,Chicago
574,17031630500.0,Chicago
575,17031630800.0,Chicago
576,17031640100.0,Chicago
577,17031440600.0,Chicago
578,17031750300.0,Chicago
579,17031440900.0,Chicago
580,17031440700.0,Chicago
581,17031381800.0,Chicago
582,17031390100.0,Chicago
583,17031390400.0,Chicago
584,17031381900.0,Chicago
585,17031390600.0,Chicago
586,17031390200.0,Chicago
587,17031661000.0,Chicago
588,17031390500.0,Chicago
589,17031440800.0,Chicago
590,17031410800.0,Chicago
591,17031750400.0,Chicago
592,17031750500.0,Chicago
593,17031283100.0,Chicago
594,17031410700.0,Chicago
595,17031750600.0,Chicago
596,17031640400.0,Chicago
597,17031640500.0,Chicago
598,17031640600.0,Chicago
599,17031650200.0,Chicago
600,17031640700.0,Chicago
601,17031650100.0,Chicago
602,17031750200.0,Chicago
603,17031640800.0,Chicago
604,17031460200.0,Chicago
605,17031460100.0,Chicago
606,17031400300.0,Chicago
607,17031282700.0,Chicago
608,17031282800.0,Chicago
609,17031400800.0,Chicago
610,17031400500.0,Chicago
611,17031410600.0,Chicago
612,17031410500.0,Chicago
613,17031450300.0,Chicago
614,17031660800.0,Chicago
615,17031170500.0,Chicago
616,17031301600.0,Chicago
617,17031050600.0,Chicago
618,17031031700.0,Chicago
619,17031610400.0,Chicago
620,17031031800.0,Chicago
621,17031071700.0,Chicago
622,17031050200.0,Chicago
623,17031050300.0,Chicago
624,17031040900.0,Chicago
625,17031031400.0,Chicago
626,17031420600.0,Chicago
627,17031110100.0,Chicago
628,17031600600.0,Chicago
629,17031030900.0,Chicago
630,17031031000.0,Chicago
631,17031030200.0,Chicago
632,17031030400.0,Chicago
633,17031030300.0,Chicago
634,17031221200.0,Chicago
635,17031061200.0,Chicago
636,17031050500.0,Chicago
637,17031071600.0,Chicago
638,17031671400.0,Chicago
639,17031062300.0,Chicago
640,17031260300.0,Chicago
641,17031050700.0,Chicago
642,17031051000.0,Chicago
643,17031050900.0,Chicago
644,17031170300.0,Chicago
645,17031740400.0,Chicago
646,17031170400.0,Chicago
647,17031170800.0,Chicago
648,17031170700.0,Chicago
649,17031060200.0,Chicago
650,17031170600.0,Chicago
651,17043840000.0,Chicago
652,17031130100.0,Chicago
653,17031081000.0,Chicago
654,17031081300.0,Chicago
655,17031020500.0,Chicago
656,17031030500.0,Chicago
657,17031680600.0,Chicago
658,17031630400.0,Chicago
659,17031010100.0,Chicago
660,17031170200.0,Chicago
661,17031240200.0,Chicago
662,17031611800.0,Chicago
663,17031020400.0,Chicago
664,17031261000.0,Chicago
665,17031281900.0,Chicago
666,17031260900.0,Chicago
667,17031670100.0,Chicago
668,17031670900.0,Chicago
669,17031670800.0,Chicago
670,17031670700.0,Chicago
671,17031530200.0,Chicago
672,17031530400.0,Chicago
673,17031310200.0,Chicago
674,17031530300.0,Chicago
675,17031560100.0,Chicago
676,17031661100.0,Chicago
677,17031670400.0,Chicago
678,17031670300.0,Chicago
679,17031490800.0,Chicago
680,17031491100.0,Chicago
681,17031491000.0,Chicago
682,17031490600.0,Chicago
683,17031490700.0,Chicago
684,17031530600.0,Chicago
685,17031660900.0,Chicago
686,17031310500.0,Chicago
687,17031310300.0,Chicago
688,17031080202.0,Chicago
689,17031130200.0,Chicago
690,17031020200.0,Chicago
691,17031420300.0,Chicago
692,17031100200.0,Chicago
693,17031010600.0,Chicago
694,17031010300.0,Chicago
695,17031020100.0,Chicago
696,17031560800.0,Chicago
697,17031310400.0,Chicago
698,17031560900.0,Chicago
699,17031560700.0,Chicago
700,17031560300.0,Chicago
701,17031560200.0,Chicago
702,17031500100.0,Chicago
703,17031500200.0,Chicago
704,17031491400.0,Chicago
705,17031500300.0,Chicago
706,17031491300.0,Chicago
707,17031491200.0,Chicago
708,17031561000.0,Chicago
709,17031740200.0,Chicago
710,17031250600.0,Chicago
711,17031730700.0,Chicago
712,17031243300.0,Chicago
713,17031071400.0,Chicago
714,17031243100.0,Chicago
715,17031243000.0,Chicago
716,17031242900.0,Chicago
717,17031242800.0,Chicago
718,17031221100.0,Chicago
719,17031221000.0,Chicago
720,17031833900.0,Chicago
721,17031834000.0,Chicago
722,17031760801.0,Chicago
723,17031839000.0,Chicago
724,17031440201.0,Chicago
725,17031010201.0,Chicago
726,17031540101.0,Chicago
727,17031020701.0,Chicago
728,17031010501.0,Chicago
729,17031252101.0,Chicago
730,17031430101.0,Chicago
731,17031243200.0,Chicago
732,17031243400.0,Chicago
733,17031150800.0,Chicago
734,17031150700.0,Chicago
735,17031160400.0,Chicago
736,17031080300.0,Chicago
737,17031080100.0,Chicago
738,17031080400.0,Chicago
739,17031071500.0,Chicago
740,17031071800.0,Chicago
741,17031250500.0,Chicago
742,17031243500.0,Chicago
